x1,x2,x3,u,x,y
0.3098476201364407,0.65574382641529,0.27546160024391075,0.10378447860734256,5.885886912674262,0.29687108889757785
0.3230992484676669,0.669382025431585,0.27093499755649914,0.1021626017571694,5.901738804674647,0.3098476201364407
0.33662320964313613,0.6830460586152917,0.2748708536575007,0.10508915553389067,5.917422910069365,0.3230992484676669
0.35042012703041187,0.6965914285313833,0.2682200164416703,0.10077193879919914,5.9329359855486405,0.33662320964313613
0.3644871810660641,0.7101558377212722,0.2733684373542801,0.10472342549911022,5.948276657587827,0.35042012703041187
0.37882843128228677,0.724023626204659,0.2800593416577334,0.1075261568276261,5.9634418633176836,0.3644871810660641
0.39344909905660364,0.7380486033943433,0.2807980747244724,0.10680011159341954,5.9784247939808415,0.37882843128228677
0.40834980691491024,0.7519970201521998,0.2777277501672716,0.10498947897735687,5.993220453081077,0.39344909905660364
0.42352730513380893,0.765703555463802,0.27169168305583224,0.10219481835031313,6.007826976369446,0.40834980691491024
0.4389760970028835,0.7791331730733134,0.26649096745975204,0.10036030943956101,6.022244875184425,0.42352730513380893
0.4546924679470685,0.792521031010903,0.2686156326541276,0.10240642672192732,6.036475333032169,0.4389760970028835
0.4706787996899691,0.8061723922636642,0.27601848498302056,0.10611144050053926,6.050516378197034,0.4546924679470685
0.4869391456350655,0.8198202646334769,0.27088202922391974,0.10203934136150722,6.064361691449119,0.4706787996899691
0.5034719571891305,0.8334970838199889,0.27533602011332287,0.10535347079585596,6.0780087436297405,0.4869391456350655
0.5202790394757455,0.8471910417254546,0.2728915244046396,0.10325801353929003,6.091454564244712,0.5034719571891305
0.5373573770552721,0.8605700567473529,0.26397905612263367,0.09877829826865471,6.104696381338855,0.5202790394757455
0.5547014755581404,0.8738662435579024,0.26724242797157377,0.10207729351101318,6.117736488317084,0.5373573770552721
0.5723109171532103,0.8870212150849178,0.2602903042909573,0.09770848710456635,6.130573821385031,0.5547014755581404
0.5901830327411629,0.9002484419838358,0.26742909342599125,0.10280367240024185,6.143208300591339,0.5723109171532103
0.6083224048724294,0.9137144919782846,0.27060395792992464,0.10333935856531713,6.155636607347285,0.5901830327411629
0.6267323744247487,0.9272963518125967,0.2723376292201631,0.10375430565842883,6.167852785684608,0.6083224048724294
0.6454139153845512,0.9408366177684933,0.2697666035491012,0.10204943945484951,6.179852767543625,0.6267323744247487
0.6643645021454427,0.9541832089719833,0.2650098374887799,0.0998727074630972,6.191635011568606,0.6454139153845512
0.6835814048192893,0.9675344836022716,0.26839228435135226,0.10253426823870423,6.203200518025658,0.6643645021454427
0.703065624922484,0.9808622831498958,0.26531096069859006,0.10027048094653773,6.214547149629458,0.6835814048192893
0.7228153932354298,0.9941087277995382,0.2646697867024606,0.10043961848780224,6.225673273947143,0.703065624922484
0.7428300692086676,1.0073644086091884,0.26541460791676197,0.10095696218150278,6.236578278660742,0.7228153932354298
0.7631089568848701,1.0204825524525223,0.26029376758152034,0.09801950223431487,6.247260094146091,0.7428300692086676
0.7836474798085228,1.0333216679154196,0.2544013118332385,0.09565049633907047,6.257719188216433,0.7631089568848701
0.8044422968558886,1.0462044473033718,0.25986217389168637,0.09964520620896877,6.267958555167268,0.7836474798085228
0.8254970353301365,1.059296255432012,0.26317471778861806,0.10054028886155764,6.277975751297166,0.8044422968558886
0.8468150091273389,1.072518211903704,0.26529640023116485,0.1011449451043384,6.287765468820834,0.8254970353301365
0.868398326116141,1.0858245392559633,0.26668928939238506,0.10155086249618571,6.297323743466523,0.8468150091273389
0.8902469635194934,1.098994020278709,0.2611521685643577,0.09827525641478664,6.306647411474634,0.868398326116141
0.9123565533469791,1.1119321934345379,0.2571440679427438,0.09701109120766639,6.315737260040384,0.8902469635194934
0.9347234042138601,1.1247388320479195,0.25544721651663704,0.09675737632489775,6.324595860533499,0.9123565533469791
0.9573455455675587,1.137461470695356,0.2537786446093705,0.09612826850777706,6.333224103442914,0.9347234042138601
0.9802226835676765,1.1502905708147881,0.2584826848679865,0.09899317569647637,6.3416220984173535,0.9573455455675587
1.0033571575740716,1.163134839342139,0.2558023904255299,0.09672599754045637,6.3497865424389826,0.9802226835676765
1.026747804750654,1.17592841689385,0.2559184064235533,0.09724302866294857,6.357715813268234,1.0033571575740716
1.0503933729874912,1.1885921753596236,0.25148306340603443,0.09478824612080763,6.365409538603115,1.026747804750654
1.0742912636889583,1.201208024802898,0.2528821254438202,0.09630660313821733,6.372868868287653,1.0503933729874912
1.0984413020672532,1.2137744019127699,0.2502736466323165,0.09463774870978328,6.380093499568028,1.0742912636889583
1.122842234501754,1.2263300471913956,0.2516816641234694,0.09585206123658276,6.387083209652121,1.0984413020672532
1.147495074113345,1.238968593254634,0.2535094451978715,0.09661737082228299,6.393837096810901,1.122842234501754
1.172400094514933,1.2514917071554759,0.24839626151693495,0.0935009352101611,6.400352528800969,1.147495074113345
1.1975550076604373,1.264032633426223,0.25246069070757066,0.0965972714524128,6.40663065689991,1.172400094514933
1.222959961814716,1.27639013467733,0.24354915896460322,0.09101713912586255,6.412670156916592,1.1975550076604373
1.248609666538033,1.2885842832035956,0.2441092766896128,0.09283184885257124,6.41847358976148,1.222959961814716
1.2745036863817327,1.300827815356805,0.24538676082593605,0.09343851148391782,6.424043207106098,1.248609666538033
1.300643421671354,1.3131637526751139,0.24762179270325552,0.09444954209500987,6.429377228882039,1.2745036863817327
1.3270299097720835,1.325462364983318,0.2448538507489195,0.09255182381154467,6.4344730684211315,1.300643421671354
1.3536608451863121,1.3376032261072035,0.2414362245196876,0.09114362098347481,6.439330674422629,1.3270299097720835
1.380533677185279,1.3496786351587682,0.2415569549417159,0.09178790565781125,6.443952381840056,1.3536608451863121
1.4076487510702906,1.3618557854358406,0.24488972096284498,0.09359724311862788,6.448338786619268,1.380533677185279
1.4350091865575336,1.3742205667755163,0.24892669853905722,0.09525006553495334,6.452487258614129,1.4076487510702906
1.4626163019530738,1.386424703720188,0.24079829048397805,0.09010453847135125,6.456393502403218,1.4350091865575336
1.4904639841744123,1.3982978616822086,0.23520168027886218,0.08840660100031368,6.460060079259087,1.4626163019530738
1.5185468431180813,1.4099615766326405,0.23196734107648645,0.08757739889668706,6.463492964611391,1.4904639841744123
1.5468611929352334,1.4214407037075785,0.22796577685724168,0.08592736841281762,6.46669580939432,1.5185468431180813
1.575402145243125,1.4325850533173121,0.21944335175816404,0.0819251518664768,6.4696718285990835,1.5468611929352334
1.6041464505930783,1.44120135101737,0.14037778009732071,0.03995748965171532,6.472427261933811,1.575402145243125
1.6330169853860979,1.4449609924033264,0.03099413128629794,-0.0067249860208889395,6.475011912442066,1.6041464505930783
1.6619079314205414,1.4432390975718528,-0.07880409385428148,-0.04850745230578462,6.477521982574577,1.6330169853860979
1.6907130618684374,1.4365119613316368,-0.17233650836438483,-0.08128939279470884,6.480066214571365,1.6619079314205414
1.7193456851403568,1.4263195968382216,-0.22521327657620255,-0.09450135571277216,6.4827438376391395,1.6907130618684374
1.7477514032906958,1.4139486599736184,-0.2624751107585749,-0.10601625983022825,6.485623330262221,1.7193456851403568
1.7758945412238687,1.4001921642266055,-0.2837107327247643,-0.11137315593107176,6.488747437279421,1.7477514032906958
1.8037522740141942,1.3854210327850058,-0.3033639372932175,-0.11857181804101566,6.49214299271098,1.7758945412238687
1.831308107095061,1.3701283493199112,-0.3075415592095452,-0.11754164140000468,6.495829300924027,1.8037522740141942
1.8585566434755751,1.354716080596881,-0.3087224221562446,-0.11748339776546811,6.499815779900463,1.831308107095061
1.8854968399411625,1.3393130616636333,-0.30761156692134645,-0.1166737346807827,6.504103833473462,1.8585566434755751
1.9121287542459646,1.3238582836165114,-0.3101017042468394,-0.11822879830140444,6.5086922630261625,1.8854968399411625
1.9384498687234792,1.3082156693082747,-0.3147171681711705,-0.12034167797494005,6.513580983748449,1.9121287542459646
1.9644572612815538,1.2925404042527642,-0.3126836317832558,-0.11844457353423299,6.518772456040547,1.9384498687234792
1.9901522080852114,1.2769726805553103,-0.310453306581518,-0.11756398382748737,6.524266037520109,1.9644572612815538
2.0155366818328933,1.2614845774256824,-0.3092934904174211,-0.11730440798149254,6.53005831974853,1.9901522080852114
2.040613207577706,1.2462238305204054,-0.30244951564855294,-0.11374306012273003,6.536146382149801,2.0155366818328933
2.0653860377835063,1.2310436682420935,-0.30438548723663683,-0.11596347580007162,6.542524454799301,2.040613207577706
2.0898540721563665,1.2157356801594108,-0.3073627324230036,-0.11727064511486812,6.549189532792078,2.0653860377835063
2.1140144267563827,1.2002745020474674,-0.31048522565210945,-0.11848144467344968,6.556142477386105,2.0898540721563665
2.1378650320732526,1.1847999387185482,-0.308817504224162,-0.11703766574224833,6.563384515269913,2.1140144267563827
2.161407539629951,1.1694855230974774,-0.3045736592212067,-0.11498972184973415,6.570914163291447,2.1378650320732526
2.1846470768469897,1.1545478066629695,-0.2948085617172939,-0.11034622504556736,6.578726670042825,2.161407539629951
2.207590976846151,1.1398557191344676,-0.29318640506759946,-0.11110711554977433,6.586813313182651,2.1846470768469897
2.2302397209739637,1.1249519087419704,-0.3013917439569304,-0.11588645705199124,6.595167825143424,2.207590976846151
2.252588995797559,1.1100108356940463,-0.2970789348024852,-0.11213081501021319,6.603792223293098,2.2302397209739637
2.2746397379803365,1.0950283407114871,-0.3013928991143911,-0.11522881792262232,6.612685259517072,2.252588995797559
2.296390652075574,1.0801024905297876,-0.2965671036841526,-0.11184964553920997,6.6218456850506,2.2746397379803365
2.3178452732555668,1.0653919532554803,-0.29261281470827694,-0.11049487460366289,6.63127044443811,2.296390652075574
2.3390071082888806,1.0508033947184183,-0.29120066022402374,-0.11038825586822071,6.640953670401281,2.3178452732555668
2.359877787521211,1.0362731103156446,-0.29020216952704986,-0.11007895047212071,6.650891150484315,2.3390071082888806
2.3804566682487325,1.021559352943253,-0.2970367916757632,-0.11400019624731923,6.6610797668760995,2.359877787521211
